(0) 56.00 (1) 60.29 (2) 56.57 (3) 58.86 (4) 54.86 (5) 56.57 (6) 54.29 (7) 55.43 (8) 46.57 (9) 47.14 (0 1) 59.43 (2 3) 58.86 (4 5) 54.86 (6 7) 53.14 (8 9) 37.14 
(0) 85.71 (1) 85.71 (2) 59.14 (3) 61.43 (4) 85.71 (5) 85.71 (6) 85.71 (7) 85.71 (8) 85.71 (9) 71.43 (0 1) 85.71 (2 3) 69.14 (4 5) 85.71 (6 7) 85.71 (8 9) 71.43 
(0) 42.86 (1) 71.43 (2) 71.43 (3) 71.43 (4) 57.14 (5) 42.86 (6) 71.43 (7) 71.43 (8) 71.43 (9) 71.43 (0 1) 42.86 (2 3) 71.43 (4 5) 42.86 (6 7) 71.43 (8 9) 71.43 
(0) 45.14 (1) 40.86 (2) 32.29 (3) 34.29 (4) 50.86 (5) 46.29 (6) 38.29 (7) 40.29 (8) 39.43 (9) 41.14 (0 1) 44.57 (2 3) 28.57 (4 5) 55.43 (6 7) 36.86 (8 9) 38.86 
(0) 87.14 (1) 87.14 (2) 82.86 (3) 76.86 (4) 67.43 (5) 83.14 (6) 87.14 (7) 87.14 (8) 87.71 (9) 87.14 (0 1) 87.14 (2 3) 68.86 (4 5) 63.43 (6 7) 87.14 (8 9) 87.71 
(0 6) 53.71 (0 7) 54.57 (1 6) 60.29 (1 7) 58.86 (0 6 7) 52.29 (0 1 6) 59.43 (1 6 7) 58.86 (0 1 7) 57.14 (0 1 6 7) 57.14 ((null)) 56.00 ((null)) 56.00 ((null)) 56.00 ((null)) 56.00 ((null)) 56.00 ((null)) 56.00 
(0 6) 85.71 (0 7) 85.71 (1 6) 85.71 (1 7) 85.71 (0 6 7) 85.71 (0 1 6) 85.71 (1 6 7) 85.71 (0 1 7) 85.71 (0 1 6 7) 85.71 ((null)) 85.71 ((null)) 85.71 ((null)) 85.71 ((null)) 85.71 ((null)) 85.71 ((null)) 85.71 
(0 6) 42.86 (0 7) 42.86 (1 6) 71.43 (1 7) 71.43 (0 6 7) 42.86 (0 1 6) 42.86 (1 6 7) 71.43 (0 1 7) 42.86 (0 1 6 7) 42.86 ((null)) 42.86 ((null)) 42.86 ((null)) 42.86 ((null)) 42.86 ((null)) 42.86 ((null)) 42.86 
(0 6) 42.29 (0 7) 43.71 (1 6) 38.29 (1 7) 39.71 (0 6 7) 40.86 (0 1 6) 42.29 (1 6 7) 37.14 (0 1 7) 43.43 (0 1 6 7) 41.14 ((null)) 45.14 ((null)) 45.14 ((null)) 45.14 ((null)) 45.14 ((null)) 45.14 ((null)) 45.14 
(0 6) 87.14 (0 7) 87.14 (1 6) 87.14 (1 7) 87.14 (0 6 7) 87.14 (0 1 6) 87.14 (1 6 7) 87.14 (0 1 7) 87.14 (0 1 6 7) 87.14 ((null)) 87.14 ((null)) 87.14 ((null)) 87.14 ((null)) 87.14 ((null)) 87.14 ((null)) 87.14 
(8 6) 44.29 (8 7) 46.57 (9 6) 45.71 (9 7) 45.43 (8 6 7) 44.29 (8 9 6) 35.71 (9 6 7) 44.00 (8 9 7) 36.57 (8 9 6 7) 35.14 
(8 6) 85.71 (8 7) 85.71 (9 6) 71.43 (9 7) 71.43 (8 6 7) 85.71 (8 9 6) 71.43 (9 6 7) 71.43 (8 9 7) 71.43 (8 9 6 7) 71.43 
(8 6) 71.43 (8 7) 71.43 (9 6) 71.43 (9 7) 71.43 (8 6 7) 71.43 (8 9 6) 71.43 (9 6 7) 71.43 (8 9 7) 71.43 (8 9 6 7) 71.43 
(8 6) 29.14 (8 7) 38.00 (9 6) 38.29 (9 7) 39.14 (8 6 7) 27.71 (8 9 6) 29.14 (9 6 7) 36.29 (8 9 7) 36.86 (8 9 6 7) 27.14 
(8 6) 78.29 (8 7) 87.71 (9 6) 87.14 (9 7) 87.14 (8 6 7) 78.29 (8 9 6) 78.29 (9 6 7) 87.14 (8 9 7) 87.71 (8 9 6 7) 78.29 
(2 4) 54.86 (2 5) 48.57 (3 4) 56.00 (3 5) 58.86 (2 4 5) 46.86 (3 4 5) 56.00 (2 3 4) 56.00 (2 3 5) 50.86 (2 3 4 5) 48.00 
(2 4) 56.29 (2 5) 55.43 (3 4) 47.14 (3 5) 66.29 (2 4 5) 52.57 (3 4 5) 52.00 (2 3 4) 52.00 (2 3 5) 69.14 (2 3 4 5) 52.00 
(2 4) 57.14 (2 5) 42.86 (3 4) 57.14 (3 5) 42.86 (2 4 5) 42.86 (3 4 5) 42.86 (2 3 4) 57.14 (2 3 5) 42.86 (2 3 4 5) 42.86 
(2 4) 40.00 (2 5) 36.00 (3 4) 41.14 (3 5) 35.71 (2 4 5) 44.00 (3 4 5) 43.71 (2 3 4) 36.00 (2 3 5) 29.14 (2 3 4 5) 38.29 
(2 4) 67.43 (2 5) 69.14 (3 4) 42.86 (3 5) 76.86 (2 4 5) 63.43 (3 4 5) 42.86 (2 3 4) 42.86 (2 3 5) 58.86 (2 3 4 5) 42.86 
(6 4) 44.86 (6 5) 54.29 (7 4) 53.71 (7 5) 55.43 (6 4 5) 44.86 (7 4 5) 53.71 (6 7 4) 43.71 (6 7 5) 53.14 (6 7 4 5) 43.71 
(6 4) 85.71 (6 5) 71.43 (7 4) 85.71 (7 5) 85.71 (6 4 5) 71.43 (7 4 5) 85.71 (6 7 4) 85.71 (6 7 5) 71.43 (6 7 4 5) 71.43 
(6 4) 57.14 (6 5) 42.86 (7 4) 57.14 (7 5) 42.86 (6 4 5) 42.86 (7 4 5) 42.86 (6 7 4) 57.14 (6 7 5) 42.86 (6 7 4 5) 42.86 
(6 4) 45.14 (6 5) 42.86 (7 4) 49.43 (7 5) 44.00 (6 4 5) 49.71 (7 4 5) 53.14 (6 7 4) 43.43 (6 7 5) 40.57 (6 7 4 5) 47.14 
(6 4) 67.43 (6 5) 83.43 (7 4) 53.43 (7 5) 83.14 (6 4 5) 63.71 (7 4 5) 49.43 (6 7 4) 53.43 (6 7 5) 83.43 (6 7 4 5) 49.71 
(0 2) 56.00 (0 3) 60.86 (1 2) 60.29 (1 3) 63.43 (0 2 3) 60.86 (1 2 3) 63.43 (0 1 2) 59.43 (0 1 3) 65.14 (0 1 2 3) 65.14 
(0 2) 56.29 (0 3) 63.43 (1 2) 54.86 (1 3) 61.43 (0 2 3) 66.29 (1 2 3) 59.14 (0 1 2) 52.00 (0 1 3) 63.43 (0 1 2 3) 56.29 
(0 2) 43.14 (0 3) 42.86 (1 2) 71.43 (1 3) 71.43 (0 2 3) 43.14 (1 2 3) 71.43 (0 1 2) 43.14 (0 1 3) 42.86 (0 1 2 3) 43.14 
(0 2) 32.86 (0 3) 35.14 (1 2) 32.57 (1 3) 34.00 (0 2 3) 26.86 (1 2 3) 28.86 (0 1 2) 33.43 (0 1 3) 34.57 (0 1 2 3) 26.86 
(0 2) 82.86 (0 3) 76.86 (1 2) 82.86 (1 3) 76.86 (0 2 3) 68.86 (1 2 3) 68.86 (0 1 2) 82.86 (0 1 3) 76.86 (0 1 2 3) 68.86 
(0 8) 47.71 (0 9) 43.71 (1 8) 42.86 (1 9) 60.00 (0 8 9) 36.29 (1 8 9) 42.86 (0 1 8) 42.86 (0 1 9) 57.14 (0 1 8 9) 42.86 
(0 8) 74.57 (0 9) 71.43 (1 8) 85.71 (1 9) 58.00 (0 8 9) 60.29 (1 8 9) 58.00 (0 1 8) 74.57 (0 1 9) 58.00 (0 1 8 9) 46.86 
(0 8) 44.57 (0 9) 42.86 (1 8) 71.43 (1 9) 71.43 (0 8 9) 42.86 (1 8 9) 71.43 (0 1 8) 44.57 (0 1 9) 42.86 (0 1 8 9) 42.86 
(0 8) 42.57 (0 9) 44.00 (1 8) 39.43 (1 9) 39.71 (0 8 9) 41.43 (1 8 9) 38.29 (0 1 8) 42.57 (0 1 9) 42.86 (0 1 8 9) 40.86 
(0 8) 73.43 (0 9) 87.14 (1 8) 87.71 (1 9) 87.14 (0 8 9) 73.43 (1 8 9) 87.71 (0 1 8) 73.43 (0 1 9) 87.14 (0 1 8 9) 73.43 
(4 8) 44.86 (4 9) 46.00 (5 8) 46.57 (5 9) 47.14 (4 8 9) 36.00 (5 8 9) 37.14 (4 5 8) 44.86 (4 5 9) 46.00 (4 5 8 9) 36.00 
(4 8) 85.71 (4 9) 71.43 (5 8) 79.71 (5 9) 71.43 (4 8 9) 71.43 (5 8 9) 65.43 (4 5 8) 79.71 (4 5 9) 71.43 (4 5 8 9) 65.43 
(4 8) 57.14 (4 9) 57.14 (5 8) 42.86 (5 9) 42.86 (4 8 9) 57.14 (5 8 9) 42.86 (4 5 8) 42.86 (4 5 9) 42.86 (4 5 8 9) 42.86 
(4 8) 47.71 (4 9) 48.86 (5 8) 40.57 (5 9) 44.86 (4 8 9) 45.71 (5 8 9) 39.14 (4 5 8) 48.86 (4 5 9) 52.86 (4 5 8 9) 46.29 
(4 8) 71.43 (4 9) 67.43 (5 8) 84.29 (5 9) 83.14 (4 8 9) 71.43 (5 8 9) 84.29 (4 5 8) 68.00 (4 5 9) 63.43 (4 5 8 9) 68.00 
(2 8) 46.57 (2 9) 39.43 (3 8) 48.00 (3 9) 46.86 (2 8 9) 29.71 (3 8 9) 38.29 (2 3 8) 48.00 (2 3 9) 39.14 (2 3 8 9) 30.86 
(2 8) 54.86 (2 9) 41.14 (3 8) 74.86 (3 9) 49.71 (2 8 9) 41.14 (3 8 9) 74.86 (2 3 8) 69.14 (2 3 9) 63.14 (2 3 8 9) 69.14 
(2 8) 71.43 (2 9) 71.43 (3 8) 71.43 (3 9) 71.43 (2 8 9) 71.43 (3 8 9) 71.43 (2 3 8) 71.43 (2 3 9) 71.43 (2 3 8 9) 71.43 
(2 8) 30.00 (2 9) 28.86 (3 8) 32.86 (3 9) 33.71 (2 8 9) 26.57 (3 8 9) 32.29 (2 3 8) 27.71 (2 3 9) 25.14 (2 3 8 9) 24.29 
(2 8) 82.86 (2 9) 82.86 (3 8) 61.71 (3 9) 76.86 (2 8 9) 82.86 (3 8 9) 61.71 (2 3 8) 68.57 (2 3 9) 68.86 (2 3 8 9) 68.57 
(2 6) 45.14 (2 7) 55.43 (3 6) 56.57 (3 7) 56.57 (2 6 7) 44.00 (3 6 7) 54.29 (2 3 6) 47.43 (2 3 7) 56.57 (2 3 6 7) 45.14 
(2 6) 59.14 (2 7) 58.57 (3 6) 61.43 (3 7) 61.43 (2 6 7) 58.57 (3 6 7) 61.43 (2 3 6) 69.14 (2 3 7) 69.14 (2 3 6 7) 69.14 
(2 6) 57.14 (2 7) 71.43 (3 6) 71.43 (3 7) 71.43 (2 6 7) 57.14 (3 6 7) 71.43 (2 3 6) 57.14 (2 3 7) 71.43 (2 3 6 7) 57.14 
(2 6) 26.29 (2 7) 30.57 (3 6) 31.71 (3 7) 30.00 (2 6 7) 24.57 (3 6 7) 27.43 (2 3 6) 23.43 (2 3 7) 26.29 (2 3 6 7) 21.14 
(2 6) 82.86 (2 7) 82.86 (3 6) 76.86 (3 7) 76.86 (2 6 7) 82.86 (3 6 7) 76.86 (2 3 6) 68.86 (2 3 7) 68.86 (2 3 6 7) 68.86 
(0 4) 54.29 (0 5) 56.00 (1 4) 60.29 (1 5) 60.29 (0 4 5) 54.29 (1 4 5) 60.29 (0 1 4) 59.43 (0 1 5) 59.43 (0 1 4 5) 59.43 
(0 4) 71.43 (0 5) 79.71 (1 4) 85.71 (1 5) 85.71 (0 4 5) 65.43 (1 4 5) 85.71 (0 1 4) 71.43 (0 1 5) 79.71 (0 1 4 5) 65.43 
(0 4) 28.57 (0 5) 28.57 (1 4) 57.14 (1 5) 42.86 (0 4 5) 28.57 (1 4 5) 42.86 (0 1 4) 28.57 (0 1 5) 28.57 (0 1 4 5) 28.57 
(0 4) 58.00 (0 5) 59.14 (1 4) 50.86 (1 5) 52.00 (0 4 5) 74.29 (1 4 5) 62.29 (0 1 4) 57.14 (0 1 5) 66.00 (0 1 4 5) 83.71 
(0 4) 67.43 (0 5) 82.86 (1 4) 67.43 (1 5) 83.14 (0 4 5) 63.43 (1 4 5) 63.43 (0 1 4) 67.43 (0 1 5) 82.86 (0 1 4 5) 63.43 
