0.76 0.86 0.02 0.22 2720 2352 368 4267 12213 
0.84 0.85 0.02 0.14 2735 2338 397 2619 13846 
0.83 0.83 0.02 0.14 2707 2243 464 2773 13720 
0.74 0.81 0.03 0.23 2711 2197 514 4465 12024 
0.79 0.81 0.03 0.19 2717 2208 509 3564 12919 
0.82 0.86 0.02 0.16 2584 2225 359 3157 13459 
0.90 0.84 0.02 0.08 2773 2335 438 1561 14866 
0.81 0.84 0.02 0.17 2753 2308 445 3287 13160 
0.75 0.82 0.03 0.23 2741 2257 484 4401 12058 
0.74 0.81 0.03 0.23 2752 2220 532 4484 11964 
0.74 0.85 0.02 0.24 2776 2350 426 4548 11876 
0.68 0.80 0.04 0.27 4400 3539 861 5258 9542 
0.68 0.87 0.02 0.30 3427 2982 445 5696 10077 
0.79 0.84 0.04 0.18 4344 3647 697 3429 11427 
0.79 0.83 0.04 0.18 4334 3610 724 3361 11505 
0.69 0.86 0.03 0.28 4585 3960 625 5359 9256 
0.79 0.86 0.04 0.17 4897 4220 677 3333 10970 
0.71 0.89 0.03 0.26 4729 4228 501 5087 9384 
0.58 0.77 0.05 0.37 3905 3004 901 7124 8171 
0.38 0.92 0.02 0.61 3911 3599 312 11626 3663 
0.36 0.95 0.01 0.63 3919 3730 189 12032 3249 
0.23 1.00 0.00 0.77 3849 3849 0 14716 635 
0.44 1.00 0.00 0.56 3853 3853 0 10816 4531 
0.49 1.00 0.00 0.51 3785 3785 0 9807 5608 
0.28 1.00 0.00 0.72 3739 3739 0 13888 1573 
0.28 1.00 0.00 0.72 3747 3747 0 13768 1685 
0.31 0.99 0.00 0.68 3762 3741 21 13142 2296 
0.30 1.00 0.00 0.70 3759 3755 4 13439 2002 
0.29 1.00 0.00 0.71 3773 3773 0 13576 1851 
0.30 1.00 0.00 0.70 3754 3754 0 13373 2073 
0.30 1.00 0.00 0.70 3698 3698 0 13345 2157 
0.51 0.98 0.00 0.49 3777 3706 71 9386 6037 
0.64 0.76 0.05 0.31 3776 2858 918 5953 9471 
0.64 0.52 0.09 0.27 3766 1967 1799 5182 10252 
0.87 0.53 0.09 0.04 3738 1998 1740 774 14688 
0.90 0.51 0.10 0.00 3762 1906 1856 26 15412 
0.90 0.65 0.07 0.03 3734 2426 1308 595 14871 
0.90 0.67 0.06 0.03 3783 2537 1246 611 14806 
0.92 0.67 0.06 0.02 3775 2546 1229 358 15067 
0.90 0.59 0.08 0.02 3735 2196 1539 388 15077 
0.91 0.55 0.09 0.01 3755 2067 1688 129 15316 
0.92 0.65 0.07 0.01 3800 2476 1324 257 15143 
0.91 0.64 0.06 0.03 3453 2208 1245 508 15239 
0.92 0.63 0.06 0.02 3007 1887 1120 400 15793 
0.92 0.61 0.06 0.02 3075 1884 1191 373 15752 
0.92 0.62 0.06 0.02 3126 1933 1193 366 15708 
0.92 0.72 0.04 0.04 2622 1881 741 837 15741 
0.91 0.71 0.04 0.05 2641 1872 769 904 15655 
0.94 0.76 0.04 0.03 2763 2091 672 515 15922 
0.92 0.68 0.05 0.04 2788 1907 881 717 15695 
0.92 0.71 0.04 0.04 2788 1970 818 734 15678 
0.94 0.71 0.04 0.02 2769 1972 797 292 16139 
0.94 0.63 0.05 0.01 2727 1719 1008 122 16351 
0.94 0.62 0.06 0.01 2791 1728 1063 174 16235 
0.91 0.62 0.06 0.03 2799 1739 1060 588 15813 
0.93 0.62 0.05 0.02 2811 1756 1055 324 16065 
0.92 0.63 0.05 0.03 2791 1769 1022 568 15841 
0.94 0.70 0.04 0.02 2773 1953 820 417 16010 
0.94 0.72 0.04 0.02 2773 1997 776 368 16059 
