0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0.078	0	0.102	0	0.038	0	0.038	0	0.02	0	0.02	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.067	0.002	0	0	0	0	0	0	0.067	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.277	0	0	0	0	0	0	0	0.253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REC#1																															
0.362	0.992	0	0	0.362	0.996	0	0	0.029	0.029	0	0	0.029	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.075	0.075	0	0	0.075	0.075	0	0	0.075	0.075	0	0	0.075	0.075	0	0	0.207	0.207	0	0	0.207	0.207	0	0	0.382	0.993	0	0	0.382	0.993	0	0
0	0	0	0	0.072	0.072	0	0	0	0	0	0	0.072	0.072	0	0	0	0	0	0	0.208	0.208	0	0	0	0	0	0	0.382	0.993	0	0
0	0	0	0	0.103	0	0.972	0	0	0	0	0	0.034	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.102	0	0.977	0	0.102	0	0.977	0	0.028	0	0.028	0	0.028	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.19	0.19	0	0	0	0	0	0	0.358	0.998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.977	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.376	0.995	0	0	0.376	0.995	0	0	0.038	0.038	0	0	0.038	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.086	0.086	0	0	0.086	0.086	0	0	0.086	0.086	0	0	0.086	0.086	0	0	0.216	0.216	0	0	0.216	0.216	0	0	0.351	0.967	0	0	0.351	0.977	0	0
0	0	0	0	0.067	0.067	0	0	0	0	0	0	0.067	0.067	0	0	0	0	0	0	0.178	0.178	0	0	0	0	0	0	0.386	0.972	0	0
0	0	0	0	0.104	0	0.963	0	0	0	0	0	0.026	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.086	0	0.927	0	0.086	0	0.927	0	0.027	0	0.027	0	0.027	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.182	0.182	0	0	0	0	0	0	0.376	0.996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.976	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.307	0.903	0	0	0.307	0.903	0	0	0.031	0.031	0	0	0.031	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.118	0.118	0	0	0.118	0.118	0	0	0.118	0.118	0	0	0.118	0.118	0	0	0.15	0.15	0	0	0.15	0.15	0	0	0.44	0.711	0	0	0.44	0.711	0	0
0	0	0	0	0.057	0.057	0	0	0	0	0	0	0.057	0.057	0	0	0	0	0	0	0.205	0.205	0	0	0	0	0	0	0.417	0.862	0	0
0	0	0	0	0.1	0	0.976	0	0	0	0	0	0.018	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.07	0	0.57	0	0.07	0	0.57	0	0.037	0	0.037	0	0.037	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.241	0.241	0	0	0	0	0	0	0.394	0.979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.945	0	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.286	0.428	0	0	0.286	0.825	0	0	0.019	0.019	0	0	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.057	0.057	0	0	0.057	0.057	0	0	0.057	0.057	0	0	0.057	0.057	0	0	0.19	0.19	0	0	0.19	0.19	0	0	0.369	0.434	0	0	0.369	0.87	0	0
0	0	0	0	0.061	0.061	0	0	0	0	0	0	0.061	0.061	0	0	0	0	0	0	0.173	0.173	0	0	0	0	0	0	0.358	0.917	0	0
0	0	0	0	0.052	0	0.153	0	0	0	0	0	0.051	0	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.123	0	0.729	0	0.123	0	0.729	0	0.042	0	0.042	0	0.042	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.191	0.191	0	0	0	0	0	0	0.435	0.884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.955	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.264	0.264	0	0	0.502	0.647	0	0	0.107	0.107	0	0	0.107	0.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.019	0.019	0	0	0.019	0.019	0	0	0.019	0.019	0	0	0.019	0.019	0	0	0.073	0.073	0	0	0.073	0.073	0	0	0.073	0.073	0	0	0.073	0.073	0	0
0	0	0	0	0.042	0.042	0	0	0	0	0	0	0.042	0.042	0	0	0	0	0	0	0.089	0.089	0	0	0	0	0	0	0.21	0.414	0	0
0	0	0	0	0.052	0	0.153	0	0	0	0	0	0.005	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.042	0	0.042	0	0.076	0	0.74	0	0.005	0	0.005	0	0.005	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.149	0.126	0	0	0	0	0	0	0.149	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.754	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.001	0.001	0	0	0.34	0.467	0	0	0.001	0.001	0	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.025	0.005	0	0	0.025	0.005	0	0	0.025	0.005	0	0	0.025	0.005	0	0	0.077	0.005	0	0	0.077	0.005	0	0	0.077	0.005	0	0	0.077	0.005	0	0
0	0	0	0	0.02	0.016	0	0	0	0	0	0	0.02	0.016	0	0	0	0	0	0	0.088	0.016	0	0	0	0	0	0	0.088	0.016	0	0
0.016	0	0	0	0.516	0	0	0	0.016	0	0	0	0.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.078	0	0.102	0	0.078	0	0.658	0	0.02	0	0.02	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.067	0.002	0	0	0	0	0	0	0.067	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.598	0	0	0	0	0	0	0	0.253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REC#2																															
0.992	0.992	0	0	0.996	0.996	0	0	0.029	0.029	0	0	0.029	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.075	0.075	0	0	0.075	0.075	0	0	0.075	0.075	0	0	0.075	0.075	0	0	0.207	0.207	0	0	0.207	0.207	0	0	0.999	0.993	0	0	0.999	0.993	0	0
0	0	0	0	0.072	0.072	0	0	0	0	0	0	0.072	0.072	0	0	0	0	0	0	0.208	0.208	0	0	0	0	0	0	0.994	0.993	0	0
0	0	0	0	0.103	0	0.985	0	0	0	0	0	0.034	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.102	0	0.989	0	0.102	0	0.989	0	0.028	0	0.028	0	0.028	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.19	0.19	0	0	0	0	0	0	0.998	0.998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.997	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.995	0.995	0	0	0.995	0.995	0	0	0.038	0.038	0	0	0.038	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.086	0.086	0	0	0.086	0.086	0	0	0.086	0.086	0	0	0.086	0.086	0	0	0.216	0.216	0	0	0.216	0.216	0	0	0.967	0.967	0	0	0.977	0.977	0	0
0	0	0	0	0.067	0.067	0	0	0	0	0	0	0.067	0.067	0	0	0	0	0	0	0.178	0.178	0	0	0	0	0	0	0.972	0.972	0	0
0	0	0	0	0.104	0	0.974	0	0	0	0	0	0.026	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.086	0	0.927	0	0.086	0	0.927	0	0.027	0	0.027	0	0.027	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.182	0.182	0	0	0	0	0	0	0.996	0.996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.995	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.986	0.903	0	0	0.993	0.903	0	0	0.031	0.031	0	0	0.031	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.118	0.118	0	0	0.118	0.118	0	0	0.118	0.118	0	0	0.118	0.118	0	0	0.15	0.15	0	0	0.15	0.15	0	0	0.711	0.711	0	0	0.711	0.711	0	0
0	0	0	0	0.057	0.057	0	0	0	0	0	0	0.057	0.057	0	0	0	0	0	0	0.205	0.205	0	0	0	0	0	0	0.862	0.862	0	0
0	0	0	0	0.1	0	0.976	0	0	0	0	0	0.018	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.07	0	0.57	0	0.07	0	0.57	0	0.037	0	0.037	0	0.037	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.241	0.241	0	0	0	0	0	0	0.99	0.979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.996	0	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.428	0.428	0	0	0.953	0.825	0	0	0.019	0.019	0	0	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.057	0.057	0	0	0.057	0.057	0	0	0.057	0.057	0	0	0.057	0.057	0	0	0.19	0.19	0	0	0.19	0.19	0	0	0.434	0.434	0	0	0.87	0.87	0	0
0	0	0	0	0.061	0.061	0	0	0	0	0	0	0.061	0.061	0	0	0	0	0	0	0.173	0.173	0	0	0	0	0	0	0.917	0.917	0	0
0	0	0	0	0.052	0	0.153	0	0	0	0	0	0.051	0	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.123	0	0.729	0	0.123	0	0.729	0	0.042	0	0.042	0	0.042	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.191	0.191	0	0	0	0	0	0	0.962	0.884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.955	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.264	0.264	0	0	0.958	0.647	0	0	0.107	0.107	0	0	0.107	0.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.019	0.019	0	0	0.019	0.019	0	0	0.019	0.019	0	0	0.019	0.019	0	0	0.073	0.073	0	0	0.073	0.073	0	0	0.073	0.073	0	0	0.073	0.073	0	0
0	0	0	0	0.042	0.042	0	0	0	0	0	0	0.042	0.042	0	0	0	0	0	0	0.089	0.089	0	0	0	0	0	0	0.58	0.414	0	0
0	0	0	0	0.052	0	0.153	0	0	0	0	0	0.005	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.042	0	0.042	0	0.076	0	0.74	0	0.005	0	0.005	0	0.005	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.474	0.126	0	0	0	0	0	0	0.729	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
