100 100 100 100 100 100 100 
100 100 100 100 100 100 100 
100 100 100 100 100 100 100 
100 100 100 94 100 100 100 
98 86 72 53 74 98 100 
66 37 26 27 28 51 100 

100 100 100 100 100 100 100 
100 100 100 100 100 100 100 
100 100 100 100 100 100 100 
100 100 100 94 99 100 100 
69 83 72 53 47 98 100 
18 22 26 28 9 51 100 

100 100 100 100 100 100 100 
100 100 100 100 100 100 100 
100 100 100 100 100 100 100 
97 100 100 94 99 100 100 
36 83 72 53 47 96 100 
15 20 26 28 9 48 100 

100 100 100 100 100 100 100 
100 100 100 100 100 100 100 
100 100 100 100 100 100 100 
100 100 100 94 99 100 100 
69 84 73 53 47 89 100 
18 22 27 28 9 47 100 

100 100 100 100 100 100 100 
100 100 100 100 100 100 100 
100 100 100 100 100 100 100 
97 100 100 94 99 100 100 
36 84 73 53 47 60 100 
13 20 27 28 9 35 100 

100 100 100 100 100 100 100 
100 100 100 100 100 100 100 
100 100 92 100 100 100 100 
96 100 64 94 99 100 100 
35 55 25 53 46 59 100 
13 7 13 28 8 33 100 

0 0 0 100 0 100 0 
0 0 0 100 0 100 0 
0 0 0 100 0 94 0 
0 0 0 100 0 75 0 
0 0 0 100 0 53 0 
0 0 0 99 0 51 0 

