  1.00   0.88   0.83   0.89   0.93 N/A   0.96   0.89   0.89   0.86   0.80   0.78 N/A   0.87   0.81   0.83   0.96   0.80   0.79 N/A   0.71 N/A N/A   0.89   0.87   0.92   0.94   0.91   0.86   0.88   0.84   0.77   0.84   0.71   0.90   0.96   0.82   0.82   0.96   0.95   0.75   0.76   0.95   0.89   0.90   0.95   0.95   0.91 N/A   0.89   0.95   0.84   0.71   0.88   0.71   0.72 N/A 
  0.85   0.99   0.74   0.90   0.91   0.75   0.91   0.77   0.97   0.93   0.73   0.71 N/A   0.73   0.91   0.81   0.85   0.76 N/A N/A N/A N/A N/A   0.79   0.77   0.86   0.91   0.78   0.77   0.97   0.84   0.72   0.79   0.80   0.76   0.82 N/A   0.81   0.79   0.92   0.85 N/A   0.80   0.75   0.80   0.90   0.90   0.95 N/A   0.96   0.87   0.79 N/A   0.75 N/A N/A N/A 
  0.76   0.79   0.99 N/A N/A   0.78 N/A N/A N/A N/A N/A N/A N/A N/A   0.78 N/A N/A N/A N/A N/A N/A N/A N/A   0.85 N/A N/A N/A   0.76   0.76   0.87   0.92 N/A   0.73 N/A N/A   0.74   0.90   0.83   0.86   0.91   0.90   0.85   0.71   0.93 N/A   0.93   0.75   0.90   0.89   0.87 N/A N/A   0.76 N/A   0.73 N/A   0.87 
  0.93   0.93   0.85   0.99   0.96   0.84   0.97   0.84   0.96   0.92   0.74 N/A N/A   0.91   0.96   0.94   0.92   0.95   0.82 N/A N/A N/A N/A N/A   0.90   0.94   0.96   0.88   0.73   0.95   0.90   0.88   0.92   0.91   0.88   0.92   0.77   0.87   0.88   0.96   0.96   0.75   0.91   0.78 N/A   0.93   0.95   0.97 N/A   0.93   0.95   0.89   0.93   0.76   0.86   0.93   0.91 
  0.88   0.88   0.82   0.90   0.99 N/A   0.87   0.91   0.94   0.86   0.72   0.84 N/A   0.77   0.75   0.76   0.84   0.72   0.78 N/A N/A N/A N/A   0.77   0.86   0.83   0.96   0.93   0.80   0.77 N/A   0.76   0.80 N/A   0.92   0.96   0.84   0.90   0.93   0.93   0.71   0.85   0.96   0.91   0.82   0.97   0.99   0.92 N/A   0.94   0.97   0.71 N/A   0.79 N/A N/A N/A 
N/A N/A N/A N/A N/A   0.96 N/A   0.70   0.75 N/A N/A N/A N/A N/A   0.77 N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A   0.71   0.76 N/A N/A N/A   0.80 N/A N/A N/A   0.75 N/A N/A   0.75 N/A N/A N/A   0.75 N/A N/A   0.77 N/A N/A N/A N/A N/A N/A N/A N/A N/A 
  0.95   0.99   0.93   0.95   0.95   0.87   0.99   0.88   0.97   0.89   0.87   0.97 N/A   0.94   0.87   0.81   0.91   0.86   0.82   0.79   0.84   0.80 N/A   0.95   0.97   0.87   0.93   0.90   0.88   0.98   0.95   0.82   0.94   0.88   0.94   0.96   0.94   0.98   0.99   0.99   0.85   0.97   0.96   0.99   0.95   0.95   0.96   0.97   0.80   0.92   0.94   0.90   0.86   0.77   0.85   0.92   0.84 
  0.90   0.77   0.77   0.77   0.89 N/A   0.84   1.00   0.80   0.75   0.76   0.75 N/A   0.77 N/A   0.78   0.88   0.70   0.81 N/A N/A N/A N/A   0.80   0.85   0.83   0.87   0.93   0.81   0.76   0.72   0.75   0.79 N/A   0.90   0.91   0.81   0.82   0.88   0.85 N/A   0.80   0.91   0.89   0.80   0.87   0.89   0.80 N/A   0.87   0.91 N/A N/A   0.90   0.71   0.75   0.70 
  0.87   0.97 N/A   0.95   0.95   0.82   0.94   0.86   0.99   0.93   0.73 N/A N/A   0.82   0.97   0.88   0.88   0.87 N/A N/A N/A N/A N/A   0.72   0.83   0.90   0.95   0.80   0.71   0.98   0.90   0.79   0.85   0.96   0.80   0.87 N/A   0.85   0.78   0.94   0.93 N/A   0.85   0.73   0.72   0.92   0.93   0.99 N/A   0.97   0.92   0.87   0.83 N/A   0.74   0.80   0.75 
  0.90   0.95 N/A   0.91   0.93   0.84   0.93   0.87   0.95   0.99 N/A N/A N/A   0.85   0.94   0.87   0.88   0.87   0.84 N/A N/A N/A N/A N/A   0.86   0.92   0.93   0.85 N/A   0.96   0.71   0.85   0.86   0.95   0.85   0.90 N/A   0.82   0.75   0.94   0.96 N/A   0.89 N/A N/A   0.93   0.94   0.94 N/A   0.94   0.92   0.90   0.89   0.76   0.84   0.86   0.81 
