 0.50,  0.13,  1.26,  0.88,  1.00,  0.95,  0.82
 0.25,  0.75,  1.01,  0.64,  0.43,  0.93,  0.66
 0.63,  0.13,  0.93,  0.55,  0.31,  0.90,  0.57
 0.88,  0.38,  0.82,  0.58,  0.33,  0.84,  0.59
 0.38,  0.63,  0.79,  0.44,  0.25,  0.86,  0.50
 1.00,  0.50,  0.54,  0.33,  0.10,  0.62,  0.27
 0.25,  0.75,  0.76,  0.47,  0.29,  0.86,  0.54
 0.75,  0.25,  0.59,  0.38,  0.16,  0.72,  0.38
 1.00,  0.63,  0.93,  0.59,  0.35,  0.90,  0.61
 0.50,  0.88,  0.89,  0.57,  0.30,  0.89,  0.56
 0.25,  0.88,  0.75,  0.43,  0.25,  0.84,  0.50
 0.50,  1.00,  0.67,  0.39,  0.15,  0.71,  0.35
 0.50,  1.00,  1.00,  1.00,  0.50,  0.86,  0.70
 0.50,  1.00,  0.86,  0.47,  0.18,  0.86,  0.41
 1.00,  0.38,  0.81,  0.45,  0.22,  0.85,  0.47
 0.63,  0.25,  0.71,  0.38,  0.11,  0.73,  0.29
 0.25,  0.88,  0.70,  0.35,  0.14,  0.77,  0.33
 0.50,  0.50,  1.00,  1.00,  1.00,  0.80,  0.79
 0.13,  0.50,  0.75,  0.52,  0.25,  0.83,  0.50
 0.25,  0.88,  0.61,  0.33,  0.15,  0.75,  0.36
 0.50,  0.50,  1.00,  1.00,  1.00,  0.80,  0.79
 0.88,  0.25,  0.74,  0.32,  0.18,  0.85,  0.40
 0.50,  0.50,  1.00,  1.00,  1.00,  0.80,  0.79
 0.63,  0.25,  0.59,  0.32,  0.14,  0.72,  0.34
 0.38,  1.00,  0.69,  0.40,  0.13,  0.77,  0.31
 0.63,  0.88,  0.61,  0.28,  0.15,  0.79,  0.36
 0.50,  1.00,  0.75,  0.33,  0.18,  0.86,  0.41
 0.63,  1.00,  0.54,  0.33,  0.08,  0.62,  0.21
 0.88,  0.50,  0.50,  0.30,  0.11,  0.65,  0.27
 0.50,  1.00,  0.55,  0.28,  0.10,  0.67,  0.26
 0.25,  0.75,  0.40,  0.22,  0.07,  0.54,  0.20
 0.63,  1.00,  0.69,  0.44,  0.18,  0.74,  0.40
 0.50,  1.00,  0.71,  0.38,  0.09,  0.73,  0.25
 0.63,  0.88,  0.64,  0.39,  0.21,  0.78,  0.45
 0.50,  1.00,  0.71,  0.28,  0.13,  0.82,  0.32
 0.63,  0.13,  0.78,  0.45,  0.21,  0.80,  0.44
 0.13,  0.63,  0.61,  0.36,  0.17,  0.73,  0.39
 0.63,  0.25,  0.65,  0.38,  0.20,  0.80,  0.44
 0.75,  0.25,  1.07,  0.68,  0.42,  0.94,  0.65
 0.50,  1.00,  0.86,  0.51,  0.23,  0.85,  0.48
 0.38,  0.88,  0.71,  0.44,  0.18,  0.77,  0.41
 1.00,  0.50,  0.49,  0.32,  0.12,  0.62,  0.31
 0.63,  0.13,  0.84,  0.52,  0.27,  0.85,  0.53
 0.63,  0.13,  0.81,  0.45,  0.22,  0.83,  0.46
 1.00,  0.63,  0.81,  0.50,  0.30,  0.86,  0.55
 0.50,  1.00,  0.90,  0.55,  0.26,  0.87,  0.52
 0.38,  1.00,  0.72,  0.49,  0.19,  0.77,  0.42
 0.38,  0.88,  0.39,  0.22,  0.05,  0.48,  0.15
 0.50,  1.00,  0.37,  0.20,  0.05,  0.47,  0.14
 0.50,  0.13,  0.43,  0.23,  0.06,  0.52,  0.17
 0.63,  1.00,  0.41,  0.21,  0.06,  0.52,  0.17
 0.75,  0.25,  0.98,  0.62,  0.28,  0.91,  0.54
 0.38,  0.88,  0.94,  0.47,  0.14,  0.92,  0.34
 0.75,  0.25,  0.93,  0.51,  0.17,  0.93,  0.38
 0.50,  1.00,  0.85,  0.42,  0.15,  0.87,  0.35
 0.50,  1.00,  0.65,  0.45,  0.14,  0.72,  0.34
 0.75,  0.13,  0.65,  0.41,  0.17,  0.76,  0.39
