 0.50,  1.00,  0.81,  0.55,  0.31,  0.83,  0.57
 0.75,  0.13,  1.07,  0.76,  0.65,  0.94,  0.75
 0.50,  1.00,  0.93,  0.57,  0.26,  0.92,  0.51
 0.75,  0.38,  0.92,  0.53,  0.31,  0.89,  0.56
 0.50,  1.00,  0.99,  0.62,  0.30,  0.93,  0.56
 0.13,  0.50,  0.85,  0.59,  0.35,  0.87,  0.60
 0.63,  0.13,  1.00,  0.72,  0.37,  0.92,  0.62
 0.38,  1.00,  0.80,  0.52,  0.26,  0.84,  0.51
 0.88,  0.50,  0.81,  0.50,  0.30,  0.86,  0.56
 0.63,  0.13,  0.79,  0.44,  0.22,  0.82,  0.47
 0.50,  1.00,  0.92,  0.59,  0.32,  0.89,  0.58
 0.50,  0.88,  0.92,  0.56,  0.24,  0.87,  0.49
 0.13,  0.50,  0.87,  0.48,  0.27,  0.92,  0.52
 0.63,  0.13,  0.74,  0.38,  0.13,  0.77,  0.31
 0.38,  1.00,  0.60,  0.40,  0.20,  0.72,  0.44
 0.63,  0.25,  0.91,  0.59,  0.30,  0.88,  0.55
 0.63,  0.13,  0.57,  0.34,  0.11,  0.65,  0.28
 0.75,  0.25,  0.69,  0.41,  0.17,  0.74,  0.38
 0.50,  0.25,  0.62,  0.41,  0.22,  0.74,  0.46
 0.38,  0.75,  0.63,  0.37,  0.14,  0.74,  0.33
 0.38,  1.00,  0.98,  0.56,  0.27,  0.92,  0.52
 0.75,  1.00,  0.62,  0.35,  0.17,  0.78,  0.38
 0.88,  0.50,  0.66,  0.30,  0.16,  0.80,  0.37
 0.50,  1.00,  0.91,  0.53,  0.26,  0.89,  0.51
 0.63,  0.13,  0.64,  0.41,  0.13,  0.68,  0.31
 0.75,  0.13,  0.82,  0.42,  0.21,  0.87,  0.45
 0.63,  0.13,  1.03,  0.72,  0.34,  0.91,  0.59
 0.63,  0.13,  0.79,  0.54,  0.18,  0.79,  0.40
 0.63,  1.00,  0.88,  0.57,  0.34,  0.90,  0.59
 0.63,  0.13,  0.67,  0.38,  0.09,  0.71,  0.24
 0.50,  1.00,  0.77,  0.42,  0.16,  0.82,  0.37
 0.63,  0.25,  0.75,  0.53,  0.25,  0.77,  0.50
 0.63,  1.00,  0.64,  0.40,  0.16,  0.72,  0.37
 0.38,  0.88,  0.53,  0.37,  0.14,  0.64,  0.33
 0.75,  0.25,  0.65,  0.48,  0.13,  0.68,  0.32
 0.63,  0.13,  0.87,  0.47,  0.13,  0.87,  0.32
 0.50,  1.00,  0.81,  0.56,  0.15,  0.82,  0.36
 0.50,  1.00,  0.87,  0.52,  0.23,  0.86,  0.48
 0.63,  0.13,  0.96,  0.44,  0.17,  0.92,  0.38
 0.63,  0.13,  0.92,  0.56,  0.17,  0.89,  0.40
 0.50,  1.00,  0.85,  0.46,  0.17,  0.88,  0.38
 0.63,  1.00,  1.03,  0.69,  0.26,  0.94,  0.52
 0.63,  0.13,  0.96,  0.66,  0.24,  0.91,  0.49
 0.63,  0.13,  0.98,  0.54,  0.17,  0.93,  0.39
 0.50,  0.13,  0.93,  0.49,  0.24,  0.92,  0.49
 0.63,  0.13,  0.88,  0.50,  0.14,  0.89,  0.33
 0.38,  1.00,  0.76,  0.54,  0.33,  0.84,  0.59
 0.63,  1.00,  1.04,  0.84,  0.31,  0.96,  0.57
 0.38,  0.88,  0.80,  0.42,  0.13,  0.81,  0.31
 0.63,  0.13,  0.91,  0.59,  0.17,  0.88,  0.39
 0.63,  0.13,  0.58,  0.40,  0.09,  0.64,  0.25
 0.25,  0.75,  0.54,  0.35,  0.15,  0.66,  0.35
 0.63,  0.13,  0.66,  0.36,  0.16,  0.74,  0.37
 0.75,  0.25,  0.51,  0.30,  0.09,  0.59,  0.24
 0.63,  0.13,  0.84,  0.52,  0.26,  0.84,  0.51
 0.75,  0.13,  0.61,  0.36,  0.09,  0.66,  0.25
 0.75,  0.25,  0.69,  0.42,  0.15,  0.73,  0.36
